Store,Dept,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size
18,24,2012-06-22,7159.74,False,70.92,3.629,8206.82,478.09,1.37,3726.43,4323.55,138.1629,8.304,B,120653
41,55,2011-03-04,8948.7,False,34.99,3.232,,,,,,192.0116004,7.241,A,196321
32,40,2011-08-12,58443.56,False,74.2,3.542,,,,,,194.1105017,8.622,A,203007
29,25,2012-02-03,5243.29,False,40.58,3.633,23656.27,2347.13,110.26,11641.23,2548.96,137.0632581,8.988,B,93638
40,98,2012-06-29,7691.08,False,64.42,3.577,2925.88,253.2,,400.0,2124.37,138.1962667,4.125,A,155083
36,4,2011-04-01,10517.84,False,67.31,3.529,,,,,,213.5776701,8.3,A,39910
3,40,2012-04-20,20118.15,False,72.05,3.877,2784.82,130.68,1.75,425.29,904.8,225.0689541,6.664,B,37392
6,9,2012-03-23,44859.93,False,63.71,3.787,4928.84,57.72,10.95,664.8,3968.26,222.8930835,6.132,A,202505
29,11,2012-09-07,6630.22,True,73.3,3.921,6434.83,49.02,42.16,1096.81,3319.92,138.4729355,9.419,B,93638
41,48,2012-01-06,1840.0,False,37.21,3.095,6453.63,22866.83,126.87,2582.41,4266.94,196.5458309,6.589,A,196321
30,23,2011-07-29,4.77,False,91.56,3.682,,,,,,215.1363819,7.852,C,42988
4,27,2012-05-04,1762.79,False,80.14,3.747,13737.91,,93.65,6993.97,4541.89,131.136,4.308,A,205863
3,1,2010-09-10,5184.6,True,80.84,2.565,,,,,,214.8065431,7.346,B,37392
1,10,2010-10-29,25464.1,False,69.64,2.716,,,,,,211.9088438,7.838,A,151315
17,1,2010-03-05,17728.27,False,31.58,2.681,,,,,,126.5782857,6.548,B,93188
36,97,2010-04-23,7194.41,False,68.03,2.762,,,,,,209.2199574,8.464,A,39910
11,3,2010-08-27,59795.5,False,87.7,2.619,,,,,,214.8897938,7.346,A,207499
8,22,2011-01-14,7129.16,False,31.62,2.983,,,,,,214.7930991,6.262,A,155078
4,97,2011-02-25,36082.74,False,49.0,3.087,,,,,,128.13,6.51,A,205863
5,35,2010-07-09,975.0,False,81.14,2.642,,,,,,211.6642907,6.496,B,34875
28,26,2012-09-28,7271.23,False,81.22,3.966,5977.78,7.91,2.16,2458.5,6671.45,131.043,10.926,A,206302
31,98,2012-07-06,9776.02,False,85.26,3.227,6801.13,1.95,36.15,3120.41,3975.98,221.5215064,6.565,A,203750
41,87,2010-08-06,7793.2,False,69.21,2.69,,,,,,190.0990028,7.335,A,196321
21,30,2010-10-08,3832.16,False,65.76,2.633,,,,,,211.4044906,8.163,B,140167
32,42,2011-04-22,7178.78,False,48.69,3.636,,,,,,192.5234638,8.595,A,203007
28,96,2010-03-19,22281.11,False,59.57,3.054,,,,,,126.6066452,13.975,A,206302
13,81,2012-02-24,32924.38,False,35.38,3.145,16404.54,12013.87,3.4,2584.12,5126.53,130.5502069,6.104,A,219622
3,38,2010-09-17,129568.46,False,82.36,2.582,,,,,,214.8322484,7.346,B,37392
3,25,2011-06-24,4633.3,False,84.94,3.594,,,,,,218.45094,7.574,B,37392
26,9,2010-07-09,29010.5,False,71.08,2.806,,,,,,132.5461333,8.445,A,152513
5,42,2011-05-06,3102.36,False,66.27,3.906,,,,,,216.3655877,6.489,B,34875
21,30,2010-05-28,5149.48,False,80.94,2.759,,,,,,210.5552301,8.2,B,140167
44,9,2011-09-02,51.56,False,77.0,3.58,,,,,,129.3259355,6.56,C,39910
19,27,2011-02-18,2609.58,False,34.74,3.42,,,,,,133.3701429,7.771,A,203819
13,99,2012-08-24,90.06,False,77.37,3.582,9360.8,71.92,179.51,8290.49,6291.99,130.8381613,5.765,A,219622
19,17,2012-06-15,13349.66,False,68.19,3.786,9987.83,697.0,0.05,2837.84,4710.66,138.1295333,8.15,A,203819
17,28,2012-08-31,744.1,False,68.07,3.624,11235.99,,2.73,3648.33,1964.35,130.8853548,5.936,B,93188
17,18,2010-04-09,5761.84,False,34.05,2.877,,,,,,126.6019032,6.635,B,93188
2,90,2012-05-25,96212.68,False,78.19,3.561,10701.32,,1030.53,3595.04,14920.27,221.3828029,6.891,A,202307
3,74,2011-01-07,4220.64,False,53.35,2.976,,,,,,214.6955104,7.551,B,37392
19,55,2010-10-15,13004.55,False,51.32,2.999,,,,,,132.7633548,8.067,A,203819
17,54,2011-01-14,40.92,False,16.57,2.903,,,,,,127.3009355,6.866,B,93188
38,40,2010-04-30,16108.92,False,67.38,3.105,,,,,,126.3805667,14.099,C,39690
34,87,2012-03-16,8161.21,False,48.09,3.707,6104.24,94.31,2.7,479.7,1656.98,130.8261935,9.653,A,158114
2,7,2012-10-05,34141.39,False,70.27,3.617,6037.76,,10.04,3027.37,3853.4,222.8159296,6.17,A,202307
4,55,2012-01-27,13220.91,False,40.31,3.29,1346.06,3740.12,46.16,445.47,2451.89,130.3144516,4.607,A,205863
18,50,2011-06-10,212.0,False,69.49,3.924,,,,,,134.9425484,8.975,B,120653
7,97,2012-09-28,4340.28,False,50.64,3.789,3735.2,6.91,4.5,917.2,1793.35,198.5903276,7.872,B,70713
35,6,2012-06-08,4973.35,False,64.05,3.689,6984.56,44.0,287.97,851.39,5482.29,142.1158099,8.876,B,103681
4,31,2010-12-17,6007.8,False,46.57,2.884,,,,,,126.8794839,7.127,A,205863
22,25,2011-06-10,11787.81,False,69.53,3.924,,,,,,138.8606382,8.252,B,119557
25,90,2010-08-20,11308.44,False,71.81,2.779,,,,,,204.8217044,7.527,B,128107
27,20,2010-02-26,8552.82,False,36.0,2.91,,,,,,135.5195191,8.237,A,204184
17,94,2012-03-30,39.0,False,45.29,3.734,8337.43,74.41,6.0,418.13,3444.54,130.9670968,6.403,B,93188
13,90,2011-08-05,118023.51,False,75.56,3.595,,,,,,129.1846452,6.877,A,219622
3,44,2012-09-21,2752.89,False,72.78,3.721,3233.34,1.91,7.69,878.66,1602.11,226.3151496,6.334,B,37392
35,11,2012-02-03,9961.84,False,42.52,3.617,62567.6,3718.52,41.68,40201.38,4130.12,141.0161924,8.744,B,103681
2,30,2012-06-01,4143.94,False,78.38,3.501,13091.33,21.0,245.37,2993.15,5521.72,221.3852748,6.891,A,202307
31,14,2012-07-27,15384.06,False,88.09,3.407,6694.25,35.94,7.2,8201.22,11721.11,221.5785461,6.565,A,203750
25,32,2012-05-04,3782.68,False,58.76,3.951,7221.1,,112.95,2512.32,1777.09,214.4771081,7.139,B,128107
44,8,2012-04-20,5275.54,False,50.24,3.845,58.34,0.73,7.7,,402.9,131.1173333,5.621,C,39910
8,32,2010-11-12,6630.3,False,54.89,2.728,,,,,,215.3721,6.433,A,155078
